# Downloaded from https://wordletools.azurewebsites.net/weightedbottles?SortOrder=ByWeight&submit=Submit

# List in alphabetical order 

Word 	Weight
CHEER 	58%
CHEMO 	58%
CHESS 	58%
CHEST 	58%
CHEWY 	58%
CHICK 	58%
CHIEF 	58%
CHILD 	58%
CHILE 	58%
CHILI 	58%
CHILL 	58%
CHIME 	58%
CHIMP 	58%
CHINA 	58%
CHIRP 	58%
CHIVE 	58%
CHOIR 	58%
CHOKE 	58%
CHORD 	58%
CHORE 	58%
CHOSE 	58%
CHUCK 	58%
CHUMP 	58%
CHUNK 	58%
CHURN 	58%
CHUTE 	58%
CIDER 	58%
CIGAR 	58%
CINCH 	58%
CIRCA 	58%
CIVIC 	58%
CIVIL 	58%
CLAIM 	58%
CLAMP 	58%
CLANG 	58%
CLANK 	58%
CLASH 	58%
CLASP 	58%
CLASS 	58%
CLEAN 	58%
CLEAR 	58%
CLEFT 	58%
CLERK 	58%
CLICK 	58%
CLIFF 	58%
CLIMB 	58%
CLING 	58%
CLINK 	58%
CLOAK 	58%
CLOCK 	58%
CLONE 	58%
CLOSE 	58%
CLOTH 	58%
CLOUD 	58%
CLOUT 	58%
CLOVE 	58%
CLOWN 	58%
CLUMP 	58%
CLUNG 	58%
COACH 	58%
COAST 	58%
COBRA 	58%
COCKY 	58%
COCOA 	58%
CODER 	58%
COLON 	58%
COLOR 	58%
COMBO 	58%
COMET 	58%
COMFY 	58%
COMIC 	58%
COMMA 	58%
CONCH 	58%
CONDO 	58%
CONGA 	58%
CORAL 	58%
CORNY 	58%
CORPS 	58%
COUCH 	58%
COUGH 	58%
COULD 	58%
COUNT 	58%
COUPE 	58%
COURT 	58%
COVER 	58%
COVET 	58%
COWER 	58%
COYLY 	58%
CRACK 	58%
CRAFT 	58%
CRAMP 	58%
CRANE 	58%
CRANK 	58%
CRASH 	58%
CRASS 	58%
CRATE 	58%
CRAVE 	58%
CRAWL 	58%
CRAZE 	58%
CRAZY 	58%
CREAM 	58%
CREDO 	58%
CREED 	58%
CREEK 	58%
CREEP 	58%
CREME 	58%
CREPE 	58%
CREPT 	58%
CREST 	58%
CRIED 	58%
CRIME 	58%
CRIMP 	58%
CRISP 	58%
CROAK 	58%
CROCK 	58%
CRONY 	58%
CROOK 	58%
CROON 	58%
CROSS 	58%
CROWD 	58%
CROWN 	58%
CRUDE 	58%
CRUEL 	58%
CRUMB 	58%
CRUSH 	58%
CRUST 	58%
CRYPT 	58%
CUBIC 	58%
CUMIN 	58%
CURIO 	58%
CURLY 	58%
CURRY 	58%
CURSE 	58%
CURVE 	58%
CURVY 	58%
CUSHY 	58%
CYBER 	58%
CYCLE 	58%
CYNIC 	58%
DADDY 	58%
DAFFY 	58%
DAILY 	58%
DAIRY 	58%
DAISY 	58%
DANCE 	58%
DANDY 	58%
