# Downloaded from https://wordletools.azurewebsites.net/weightedbottles?SortOrder=ByWeight&submit=Submit

# List in alphabetical order 

Word 	Weight
RIGOR 	58%
RINSE 	58%
RIPEN 	58%
RISEN 	58%
RISER 	58%
RISKY 	58%
RIVAL 	58%
RIVEN 	58%
RIVER 	58%
ROACH 	58%
ROAST 	58%
ROBIN 	58%
ROBOT 	58%
ROCKY 	58%
RODEO 	58%
ROGUE 	58%
ROOMY 	58%
ROOST 	58%
ROUGH 	58%
ROUND 	58%
ROUSE 	58%
ROUTE 	58%
ROVER 	58%
ROWDY 	58%
ROYAL 	58%
RUBLE 	58%
RUDDY 	58%
RUGBY 	58%
RULER 	58%
RUMBA 	58%
RUMOR 	58%
RUNNY 	58%
RUPEE 	58%
RURAL 	58%
RUSTY 	58%
SABLE 	58%
SADLY 	58%
SAFER 	58%
SAINT 	58%
SALAD 	58%
SALON 	58%
SALSA 	58%
SALTY 	58%
SALVE 	58%
SALVO 	58%
SAMBA 	58%
SANDY 	58%
SAPPY 	58%
SASSY 	58%
SATIN 	58%
SAUCE 	58%
SAUCY 	58%
SAUNA 	58%
SAUTE 	58%
SAVER 	58%
SAVOR 	58%
SAVVY 	58%
SCALE 	58%
SCALP 	58%
SCALY 	58%
SCANT 	58%
SCARE 	58%
SCARF 	58%
SCARY 	58%
SCENE 	58%
SCENT 	58%
SCION 	58%
SCOFF 	58%
SCOLD 	58%
SCONE 	58%
SCOOP 	58%
SCOPE 	58%
SCORE 	58%
SCORN 	58%
SCOUR 	58%
SCOUT 	58%
SCOWL 	58%
SCRAP 	58%
SCREW 	58%
SCRIM 	58%
SCRUB 	58%
SCRUM 	58%
SCUBA 	58%
SEAMY 	58%
SEDAN 	58%
SEEDY 	58%
SEGUE 	58%
SEIZE 	58%
SENSE 	58%
SEPIA 	58%
SERUM 	58%
SERVE 	58%
SETUP 	58%
SEVEN 	58%
SEVER 	58%
SEWER 	58%
SHACK 	58%
SHADE 	58%
SHADY 	58%
SHAFT 	58%
SHAKE 	58%
SHAKY 	58%
SHALE 	58%
SHALL 	58%
SHAME 	58%
SHANK 	58%
SHAPE 	58%
SHARD 	58%
SHARE 	58%
SHARK 	58%
SHARP 	58%
SHAVE 	58%
SHAWL 	58%
SHEAF 	58%
SHEAR 	58%
SHEEN 	58%
SHEEP 	58%
SHEER 	58%
SHEET 	58%
SHEIK 	58%
SHELF 	58%
SHELL 	58%
SHIED 	58%
SHIFT 	58%
SHINE 	58%
SHINY 	58%
SHIRK 	58%
SHIRT 	58%
SHOCK 	58%
SHONE 	58%
SHOOK 	58%
SHOOT 	58%
SHORE 	58%
SHORN 	58%
SHORT 	58%
SHOUT 	58%
SHOVE 	58%
SHOWN 	58%
SHOWY 	58%
SHRED 	58%
SHRUB 	58%
SHRUG 	58%
SHYLY 	58%
SIEGE 	58%
SIEVE 	58%
SIGHT 	58%
SILKY 	58%
SILLY 	58%
SINCE 	58%
SINUS 	58%
SIREN 	58%
SIXTH 	58%
SIXTY 	58%
SKATE 	58%
SKEIN 	58%
SKIER 	58%
SKILL 	58%
SKIMP 	58%
SKIRT 	58%
SKULL 	58%
SKUNK 	58%
SLACK 	58%
SLAIN 	58%
SLANG 	58%
SLANT 	58%
SLASH 	58%
SLATE 	58%
SLEEK 	58%
SLEEP 	58%
SLEET 	58%
SLEPT 	58%
SLICE 	58%
SLICK 	58%
SLIDE 	58%
SLIME 	58%
SLIMY 	58%
SLING 	58%
SLOPE 	58%
SLOTH 	58%
SLUMP 	58%
SLUNG 	58%
SLURP 	58%
SLUSH 	58%
SLYLY 	58%
SMACK 	58%
SMALL 	58%
SMART 	58%
SMASH 	58%
SMEAR 	58%
SMELL 	58%
SMILE 	58%
SMIRK 	58%
SMOCK 	58%
SMOKE 	58%
SMOKY 	58%
SNACK 	58%
SNAIL 	58%
SNAKE 	58%
SNARE 	58%
SNARK 	58%
SNARL 	58%
SNEAK 	58%
SNEER 	58%
SNIDE 	58%
SNIFF 	58%
SNOOP 	58%
SNORE 	58%
SNORT 	58%
SNOUT 	58%
SNOWY 	58%
SNUCK 	58%
SNUFF 	58%
SOAPY 	58%
SOBER 	58%
SOGGY 	58%
SOLAR 	58%
SOLID 	58%
SOLVE 	58%
SONAR 	58%
SONIC 	58%
SOOTY 	58%
SORRY 	58%
SOUND 	58%
SOUPY 	58%
SOUTH 	58%
SPACE 	58%
SPADE 	58%
SPANK 	58%
SPARE 	58%
SPARK 	58%
SPASM 	58%
SPATE 	58%
SPAWN 	58%
SPEAK 	58%
SPEAR 	58%
SPECK 	58%
SPEED 	58%
SPELL 	58%
SPEND 	58%
SPENT 	58%
SPERM 	58%
SPICE 	58%
SPICY 	58%
SPIED 	58%
SPIEL 	58%
SPIKE 	58%
SPIKY 	58%
SPILL 	58%
SPINE 	58%
SPIRE 	58%
SPITE 	58%
SPLIT 	58%
SPOIL 	58%
SPOKE 	58%
SPOOF 	58%
SPOOK 	58%
SPOON 	58%
SPORE 	58%
SPORT 	58%
SPOUT 	58%
SPRAY 	58%
SPREE 	58%
SPRIG 	58%
SPUNK 	58%
SPURN 	58%
SPURT 	58%
SQUAD 	58%
SQUAT 	58%
SQUID 	58%
STACK 	58%
STAFF 	58%
STAGE 	58%
STAID 	58%
STAIN 	58%
STAIR 	58%
STAKE 	58%
STALE 	58%
STALK 	58%
STALL 	58%
STAMP 	58%
STAND 	58%
STARE 	58%
STARK 	58%
START 	58%
STASH 	58%
STATE 	58%
STAVE 	58%
STEAD 	58%
STEAK 	58%
STEAL 	58%
STEAM 	58%
STEEL 	58%
STEEP 	58%
STEER 	58%
STENT 	58%
STERN 	58%
STICK 	58%
STIFF 	58%
STILL 	58%
STING 	58%
STINK 	58%
STINT 	58%
STOCK 	58%
STOIC 	58%
STOKE 	58%
STOLE 	58%
STOMP 	58%
STONE 	58%
STONY 	58%
STOOD 	58%
STOOL 	58%
STOOP 	58%
STORE 	58%
STORK 	58%
STORM 	58%
STORY 	58%
STOUT 	58%
STOVE 	58%
STRAP 	58%
STRAW 	58%
STRAY 	58%
STREP 	58%
STRIP 	58%
STRUT 	58%
STUCK 	58%
STUDY 	58%
STUFF 	58%
STUMP 	58%
STUNG 	58%
STUNT 	58%
STYLE 	58%
SUAVE 	58%
SUEDE 	58%
SUGAR 	58%
SUING 	58%
SUITE 	58%
SULLY 	58%
SUNNY 	58%
SUPER 	58%
SURER 	58%
SURGE 	58%
SURLY 	58%
SUSHI 	58%
SWAMP 	58%
SWANK 	58%
SWARM 	58%
SWATH 	58%
SWEAR 	58%
SWEAT 	58%
SWEEP 	58%
SWEET 	58%
SWELL 	58%
SWEPT 	58%
SWIFT 	58%
SWINE 	58%
SWING 	58%
SWIPE 	58%
SWIRL 	58%
SWISH 	58%
SWOON 	58%
SWOOP 	58%
SWORD 	58%
SWORE 	58%
SWORN 	58%
SWUNG 	58%
SYRUP 	58%
TABLE 	58%
TABOO 	58%
TACIT 	58%
TACKY 	58%
TAINT 	58%
TAKEN 	58%
TAKER 	58%
TALKY 	58%
TALLY 	58%
TALON 	58%
TAMER 	58%
TANGO 	58%
TANGY 	58%
TAPER 	58%
TARDY 	58%
TAROT 	58%
TASTE 	58%
TASTY 	58%
TAUNT 	58%
TAUPE 	58%
TAWNY 	58%
TEACH 	58%
TEARY 	58%
TEASE 	58%
TEDDY 	58%
TEENY 	58%
TEETH 	58%
TEMPO 	58%
TEMPT 	58%
TENET 	58%
TENOR 	58%
TENSE 	58%
TENTH 	58%
TEPID 	58%
TERRA 	58%
TERSE 	58%
TESTY 	58%
THANK 	58%
THEFT 	58%
THEIR 	58%
THEME 	58%
THERE 	58%
THESE 	58%
THICK 	58%
THIEF 	58%
THIGH 	58%
THING 	58%
THINK 	58%
THIRD 	58%
THONG 	58%
THORN 	58%
THOSE 	58%
THREE 	58%
THREW 	58%
THROB 	58%
THROW 	58%
THRUM 	58%
THUMB 	58%
THUMP 	58%
THYME 	58%
TIARA 	58%
TIDAL 	58%
TIGER 	58%
TIGHT 	58%
TIMER 	58%
TIMID 	58%
TINGE 	58%
TINNY 	58%
TIPSY 	58%
TIRED 	58%
TITAN 	58%
TITLE 	58%
TOAST 	58%
TODAY 	58%
TOKEN 	58%
TONAL 	58%
TONER 	58%
TONIC 	58%
TOOTH 	58%
TOPIC 	58%
TORCH 	58%
TORSO 	58%
TORTE 	58%
TOTAL 	58%
TOTEM 	58%
TOUCH 	58%
TOUGH 	58%
TOWEL 	58%
TOWER 	58%
TOXIC 	58%
TOXIN 	58%
TRACE 	58%
TRACK 	58%
TRACT 	58%
TRADE 	58%
TRAIL 	58%
TRAIN 	58%
TRAIT 	58%
TRAMP 	58%
TRANS 	58%
TRASH 	58%
TREAD 	58%
TREAT 	58%
TREND 	58%
TRIAL 	58%
TRIBE 	58%
TRICK 	58%
TRIED 	58%
TRIPE 	58%
TRITE 	58%
TROLL 	58%
TROOP 	58%
TROPE 	58%
TROUT 	58%
TROVE 	58%
TRUCE 	58%
TRUCK 	58%
TRUER 	58%
TRULY 	58%
TRUMP 	58%
TRUNK 	58%
TRUST 	58%
TRUTH 	58%
TRYST 	58%
TULIP 	58%
TULLE 	58%
TUMMY 	58%
TUMOR 	58%
TUNER 	58%
TUNIC 	58%
TURBO 	58%
TUTOR 	58%
TWANG 	58%
TWEAK 	58%
TWEED 	58%
TWEEN 	58%
TWEET 	58%
TWICE 	58%
TWINE 	58%
TWIRL 	58%
TWIST 	58%
TYING 	58%
ULCER 	58%
ULTRA 	58%
UMAMI 	58%
UNCLE 	58%
UNCUT 	58%
UNDER 	58%
UNDID 	58%
UNDUE 	58%
UNFIT 	58%
UNIFY 	58%
UNION 	58%
UNITE 	58%
UNITY 	58%
UNMET 	58%
UNTIE 	58%
UNTIL 	58%
UNWED 	58%
UNZIP 	58%
UPEND 	58%
UPPER 	58%
UPSET 	58%
URBAN 	58%
URINE 	58%
USAGE 	58%
USHER 	58%
USING 	58%
USUAL 	58%
USURP 	58%
UTTER 	58%
VAGUE 	58%
VALET 	58%
VALID 	58%
VALUE 	58%
VALVE 	58%
VAPID 	58%
VAPOR 	58%
VAULT 	58%
VEGAN 	58%
VENAL 	58%
VENOM 	58%
VENUE 	58%
VERGE 	58%
VERSE 	58%
VERVE 	58%
VICAR 	58%
VIDEO 	58%
VIGIL 	58%
VIGOR 	58%
VILLA 	58%
VINYL 	58%
VIOLA 	58%
VIPER 	58%
VIRAL 	58%
VIRUS 	58%
VISIT 	58%
VISOR 	58%
VISTA 	58%
VITAL 	58%
VITRO 	58%
VIVID 	58%
VOCAL 	58%
VODKA 	58%
VOGUE 	58%
VOICE 	58%
VOILA 	58%
VOMIT 	58%
VOTER 	58%
VOUCH 	58%
VOWEL 	58%
VYING 	58%
WACKY 	58%
WAFER 	58%
WAGER 	58%
WAGON 	58%
WAIST 	58%
WAIVE 	58%
WALTZ 	58%
WASTE 	58%
WATCH 	58%
WATER 	58%
WAVER 	58%
WEARY 	58%
WEAVE 	58%
WEDGE 	58%
WEEDY 	58%
WEEPY 	58%
WEIGH 	58%
WEIRD 	58%
WHACK 	58%
WHALE 	58%
WHARF 	58%
WHEAT 	58%
WHEEL 	58%
WHERE 	58%
WHICH 	58%
WHIFF 	58%
WHILE 	58%
WHINE 	58%
WHINY 	58%
WHIRL 	58%
WHISK 	58%
WHITE 	58%
WHOLE 	58%
WHOOP 	58%
WHOSE 	58%
WIDEN 	58%
WIDER 	58%
WIDOW 	58%
WIDTH 	58%
WIELD 	58%
WIMPY 	58%
WINCE 	58%
WINDY 	58%
WIPER 	58%
WISER 	58%
WISPY 	58%
WITCH 	58%
WITTY 	58%
WOKEN 	58%
WOMAN 	58%
WOMEN 	58%
WONKY 	58%
WOODY 	58%
WOOZY 	58%
WORDY 	58%
WORLD 	58%
WORRY 	58%
WORSE 	58%
WORST 	58%
WORTH 	58%
WOULD 	58%
WOUND 	58%
WOVEN 	58%
WRATH 	58%
WREAK 	58%
WRECK 	58%
WREST 	58%
WRING 	58%
WRIST 	58%
WRITE 	58%
WRONG 	58%
WROTE 	58%
WRUNG 	58%
WRYLY 	58%
YACHT 	58%
YEARN 	58%
YEAST 	58%
YIELD 	58%
YOUNG 	58%
YOUTH 	58%
YUMMY 	58%
ZEBRA 	58%
ZESTY 	58%
ZIPPY 	58%
BEGAT 	57.9951%
SKIFF 	57.9877%
TIZZY 	57.9852%
DIVVY 	57.9827%
POOCH 	57.9827%
DOWRY 	57.9726%
HAMMY 	57.9726%
PUNKY 	57.9726%
STAGY 	57.9726%
CHIDE 	57.9675%
JAMMY 	57.9675%
PREEN 	57.9649%
BEGET 	57.9624%
SCOOT 	57.9624%
TRUSS 	57.9597%
BLIMP 	57.9571%
LEACH 	57.9571%
PADDY 	57.9571%
ABBEY 	57.9492%
GOUGE 	57.9466%
TRILL 	57.9466%
DORKY 	57.9439%
RITZY 	57.9385%
TRIAD 	57.9358%
HOLLY 	57.9331%
GAMMA 	57.9303%
PETER 	57.9303%
SUMAC 	57.9248%
FELLA 	57.922%
PUTTY 	57.922%
CREAK 	57.9193%
HELIX 	57.9193%
OFFAL 	57.9193%
SHALT 	57.9193%
SPINY 	57.9193%
BUTCH 	57.9165%
YUCCA 	57.9165%
HORNY 	57.9109%
PSYCH 	57.908%
FEINT 	57.9023%
GOURD 	57.9023%
REDID 	57.9023%
SLINK 	57.9023%
PIPER 	57.8965%
PILAF 	57.8789%
BARRE 	57.8698%
REBAR 	57.8607%
ROUGE 	57.8607%
POUTY 	57.8576%
CHOCK 	57.8514%
BATTY 	57.8483%
TAFFY 	57.8483%
CHAFF 	57.8388%
STUNK 	57.8324%
GODLY 	57.8259%
PALER 	57.8194%
SANER 	57.8128%
JETTY 	57.8095%
SQUAB 	57.8062%
SHIVA 	57.8028%
MERCH 	57.7994%
SHILL 	57.7994%
SISSY 	57.7994%
FILMY 	57.7926%
MOUSY 	57.7926%
SITAR 	57.7857%
HOKUM 	57.7823%
TRAWL 	57.7823%
REMIT 	57.7787%
UNLIT 	57.7752%
DECAL 	57.7646%
FOIST 	57.7646%
SYNTH 	57.7646%
FOUNT 	57.7502%
STRUM 	57.7502%
MOPEY 	57.7354%
ADOBO 	57.7317%
PEEVE 	57.7317%
SULKY 	57.7317%
DWELT 	57.7242%
OLDEN 	57.7242%
MANSE 	57.7203%
GRUEL 	57.701%
ROTOR 	57.6931%
BICEP 	57.6891%
FRIAR 	57.6891%
PYGMY 	57.6851%
WACKO 	57.677%
EXALT 	57.6729%
PINKY 	57.6647%
BOCCE 	57.6605%
GAILY 	57.6605%
ARDOR 	57.6577%
ATOLL 	57.6563%
PRAWN 	57.6563%
AGITA 	57.6522%
ALLOT 	57.6522%
ROWER 	57.6522%
APING 	57.6479%
ROMAN 	57.6437%
DOLLY 	57.6394%
MANNA 	57.6394%
AHOLD 	57.6351%
TWILL 	57.6264%
JOUST 	57.6221%
TIBIA 	57.6221%
DEIGN 	57.6177%
IGLOO 	57.6177%
SLUNK 	57.6177%
SPOOL 	57.6177%
PANKO 	57.6087%
CUTER 	57.6043%
VALOR 	57.6027%
BLOKE 	57.5997%
DUMPY 	57.5861%
DOWNY 	57.5814%
MAGMA 	57.5721%
STAPH 	57.5673%
CAPED 	57.5626%
LUCRE 	57.5626%
ABBOT 	57.5578%
DOTTY 	57.5432%
CADDY 	57.5384%
DECAF 	57.5384%
OCTET 	57.5384%
FJORD 	57.5285%
GIMME 	57.5285%
HENNA 	57.5285%
INLAY 	57.5285%
LETUP 	57.5235%
FLINT 	57.5184%
PINEY 	57.5134%
BILLY 	57.498%
BLUER 	57.498%
SHUCK 	57.4927%
ULNAR 	57.4927%
EXULT 	57.4875%
SINEW 	57.4875%
CREMA 	57.4822%
GOLLY 	57.4822%
SATAY 	57.4822%
SIDLE 	57.4822%
BATIK 	57.4716%
SNIPE 	57.4716%
WANLY 	57.4716%
REBUS 	57.4662%
FLYBY 	57.4607%
BOSON 	57.4553%
SLOOP 	57.4553%
TERRY 	57.4553%
BREAM 	57.4498%
OMBRE 	57.4498%
DIODE 	57.4387%
HYDRO 	57.4274%
STILT 	57.4274%
VIXEN 	57.4274%
ICILY 	57.4217%
KUDZU 	57.4217%
RICIN 	57.4217%
MEALY 	57.4159%
PEONY 	57.4159%
DITSY 	57.4102%
EMOTE 	57.4102%
CAROL 	57.3985%
STEED 	57.3985%
AMITY 	57.3866%
BYLAW 	57.3866%
OLDIE 	57.3866%
GULLY 	57.3807%
SHUNT 	57.3807%
JUNKY 	57.3746%
SAGGY 	57.3746%
ANCHO 	57.3686%
BENTO 	57.3686%
AMOUR 	57.3624%
OVARY 	57.3624%
STANK 	57.3624%
TABBY 	57.3624%
DACHA 	57.3563%
SPELT 	57.3563%
NEWSY 	57.3501%
PATSY 	57.3501%
LATHE 	57.3438%
SNAFU 	57.3438%
INTER 	57.3247%
OCHRE 	57.3247%
ASPEN 	57.2986%
DISHY 	57.2986%
FLACK 	57.2986%
LEPER 	57.2852%
FLUKY 	57.2716%
BASAL 	57.2648%
FOLIC 	57.2648%
GROUT 	57.2648%
SPLAT 	57.2648%
DITZY 	57.2509%
WINCH 	57.2509%
DINKY 	57.2439%
SUDSY 	57.2439%
DROSS 	57.2368%
HISSY 	57.2368%
DEMUR 	57.2296%
SMELT 	57.2296%
BOBBY 	57.2151%
CAROM 	57.2151%
DULLY 	57.2151%
FICUS 	57.2078%
PINTO 	57.2078%
KAPUT 	57.193%
USURY 	57.193%
JOWLY 	57.1855%
REARM 	57.1855%
EYING 	57.178%
POKEY 	57.178%
PYLON 	57.178%
DOULA 	57.1703%
GONER 	57.1703%
CUTUP 	57.1626%
KUGEL 	57.1548%
SYNOD 	57.1548%
TEPEE 	57.1548%
HOVEL 	57.147%
IMPEL 	57.147%
ISLET 	57.1391%
MIRIN 	57.1232%
SWILL 	57.1232%
YUCKY 	57.115%
MOCHI 	57.1069%
RIVET 	57.0986%
TATTY 	57.0903%
SYNCH 	57.0819%
BONGO 	57.0734%
CRIER 	57.0734%
DUNCE 	57.0734%
SKEET 	57.0734%
LITER 	57.0564%
GLADE 	57.0563%
MANGY 	57.0563%
TARRY 	57.0476%
BEFIT 	57.0388%
CHOMP 	57.0299%
EMCEE 	57.0299%
RAYON 	57.0299%
RECUT 	57.0299%
GABLE 	57.021%
RUMMY 	57.021%
SLOSH 	57.021%
EDEMA 	57.012%
HOOEY 	57.012%
GECKO 	57.0029%
GLUEY 	57.0029%
GUSHY 	57.0029%
KRILL 	57.0029%
GOFER 	56.9937%
SHREW 	56.9937%
BIDET 	56.9844%
LOAMY 	56.9751%
PUNNY 	56.9751%
LIPID 	56.9656%
ASPIC 	56.9561%
CLEAT 	56.9561%
SCUFF 	56.9561%
BOGGY 	56.9464%
BUSTY 	56.9464%
DIVAN 	56.9367%
SLAKE 	56.9367%
RIPER 	56.9269%
SHUSH 	56.9269%
COVEN 	56.917%
UNHIP 	56.917%
AGATE 	56.8968%
JULEP 	56.8968%
OVOID 	56.8968%
HUTCH 	56.8866%
MUCKY 	56.8866%
SATYR 	56.8866%
CLACK 	56.8764%
CACTI 	56.8554%
CAPRI 	56.8554%
FUDGY 	56.8554%
LEECH 	56.8554%
MOREL 	56.8554%
SUNUP 	56.8554%
TORTA 	56.8554%
MOMMA 	56.8448%
BEGOT 	56.8232%
PORKY 	56.8232%
RUNUP 	56.8232%
KAZOO 	56.8122%
CUTIE 	56.8011%
CRONE 	56.7899%
FRILL 	56.7899%
SNAKY 	56.7899%
LARVA 	56.7786%
SKULK 	56.7786%
BOFFO 	56.7672%
BLEAT 	56.744%
DIVOT 	56.744%
TWAIN 	56.7322%
GUANO 	56.7203%
SOFTY 	56.7203%
MOONY 	56.7082%
OMEGA 	56.7082%
ASCOT 	56.6837%
ETUDE 	56.6837%
REFIT 	56.6837%
CELEB 	56.6713%
NIPPY 	56.6713%
HUBBY 	56.6587%
GHOUL 	56.6459%
BALSA 	56.6331%
BEADY 	56.6331%
COLIC 	56.6331%
MACAW 	56.6331%
HOOCH 	56.62%
REBID 	56.62%
TUBBY 	56.62%
BLEEP 	56.6068%
BABKA 	56.5935%
EGRET 	56.5935%
ELOPE 	56.5935%
SCAMP 	56.5935%
TITHE 	56.5935%
YAHOO 	56.5935%
PRIMO 	56.58%
UMBER 	56.58%
CUBBY 	56.5664%
MILER 	56.5664%
BETEL 	56.5526%
BYWAY 	56.5526%
ELIDE 	56.5526%
FINCH 	56.5526%
GOOPY 	56.5386%
ALDER 	56.5245%
PANTY 	56.5245%
TUBER 	56.5102%
SABER 	56.5085%
FOLIO 	56.4957%
QUANT 	56.481%
BITTY 	56.4512%
AMBIT 	56.436%
HUFFY 	56.4206%
MITER 	56.4206%
SALLY 	56.4206%
FRITZ 	56.405%
QUAFF 	56.405%
ZILCH 	56.405%
AMARO 	56.3892%
SEDER 	56.3892%
VAMPY 	56.3733%
CORGI 	56.3571%
FILER 	56.3571%
GRIFT 	56.3407%
LEMUR 	56.3407%
SPLAY 	56.3407%
GASSY 	56.324%
SHOAL 	56.3072%
THINE 	56.3072%
MISER 	56.2902%
NATAL 	56.2902%
BEZEL 	56.2729%
LATKE 	56.2729%
LOUSE 	56.2729%
BILGE 	56.2554%
CLUCK 	56.2554%
CLUNK 	56.2554%
HOPPY 	56.2554%
SQUIB 	56.2554%
POLYP 	56.2376%
DRECK 	56.2196%
HYDRA 	56.2196%
ALOHA 	56.2014%
CLAVE 	56.2014%
PLEAT 	56.2014%
VOILE 	56.2014%
GROIN 	56.1715%
QUARK 	56.1641%
TATER 	56.1641%
YODEL 	56.1641%
MALTY 	56.145%
NACHO 	56.145%
XENON 	56.145%
GRUMP 	56.1257%
KNISH 	56.1257%
RUING 	56.1257%
CARNY 	56.1062%
CUING 	56.1062%
VENTI 	56.1062%
ASSAY 	56.0863%
EXURB 	56.0863%
KIDDO 	56.0863%
REIKI 	56.0863%
WOOLY 	56.0863%
FLECK 	56.0662%
SERIF 	56.0662%
ADMIN 	56.0457%
INAPT 	56.0457%
KLUTZ 	56.0457%
PLONK 	56.0457%
GABBY 	56.025%
LARCH 	56.025%
SINGE 	56.025%
TODDY 	56.025%
DAUNT 	56.0039%
ENEMA 	56.0039%
TOPAZ 	56.0039%
RADON 	55.9826%
STEIN 	55.9826%
FRIZZ 	55.9609%
MOSEY 	55.9609%
ACING 	55.9389%
DIPPY 	55.9389%
PORGY 	55.9389%
FECES 	55.9302%
ROSIN 	55.9165%
COPSE 	55.8938%
GUSSY 	55.8938%
STELE 	55.8938%
BOUGH 	55.8707%
WORMY 	55.8707%
HERTZ 	55.8473%
LOTTO 	55.8234%
CARAT 	55.7992%
CHOUX 	55.7992%
SCRIP 	55.7992%
SOPPY 	55.7992%
WHORL 	55.7992%
CIVET 	55.7747%
FROND 	55.7747%
HARPY 	55.7747%
ARGON 	55.7497%
PANSY 	55.7497%
SILTY 	55.7242%
CLIME 	55.6454%
DALLY 	55.6454%
FRISE 	55.6454%
QUALM 	55.6454%
ROUST 	55.6454%
SMITE 	55.6454%
SWAMI 	55.6454%
POOFY 	55.6182%
FLOWY 	55.5905%
HIPPY 	55.5905%
LUGER 	55.5905%
NINNY 	55.5905%
TOADY 	55.5905%
CAIRN 	55.5624%
POPUP 	55.5624%
DOILY 	55.5337%
MYRRH 	55.5337%
PRION 	55.5337%
AXING 	55.5045%
UDDER 	55.5045%
AGORA 	55.4749%
BOWER 	55.4446%
CRESS 	55.4446%
GOLEM 	55.4446%
SAVOY 	55.4446%
BURRO 	55.4138%
PLINK 	55.4138%
UNSEE 	55.4138%
WURST 	55.4138%
TUBAL 	55.3825%
BIBLE 	55.3643%
BANDY 	55.3505%
DATER 	55.3505%
ETHYL 	55.3179%
FAKER 	55.3179%
BRIAR 	55.2847%
CAVIL 	55.2847%
CODEX 	55.2847%
DUCHY 	55.2847%
FUGAL 	55.2847%
PLAIT 	55.2847%
TROMP 	55.2847%
BITER 	55.2509%
BENDY 	55.2163%
BORON 	55.2163%
DROID 	55.2163%
DROIT 	55.2163%
GETUP 	55.2163%
CAPON 	55.1811%
CAROB 	55.1811%
KRONE 	55.1811%
LICIT 	55.1811%
RUDER 	55.1811%
SCREE 	55.1811%
GAMEY 	55.1452%
MELTY 	55.1452%
AUGER 	55.1086%
GLACE 	55.1086%
SPILT 	55.1086%
SWAIN 	55.0712%
APHID 	55.033%
CADGE 	54.994%
SEDGE 	54.994%
WARTY 	54.994%
WAXEN 	54.994%
CUPID 	54.9542%
EDIFY 	54.9542%
GNASH 	54.9542%
HACKY 	54.9542%
PEATY 	54.9542%
DUCKY 	54.9135%
SCALD 	54.9135%
SHYER 	54.9135%
YOKEL 	54.9135%
MORAY 	54.8719%
PRIMP 	54.8294%
FEMME 	54.8183%
DOWEL 	54.7859%
LOUPE 	54.7859%
MOOCH 	54.7859%
NAPPY 	54.7859%
ASTER 	54.7415%
CHARY 	54.7415%
GORSE 	54.7415%
BIOME 	54.696%
DEBUG 	54.696%
DWEEB 	54.696%
KEFIR 	54.696%
SPIFF 	54.696%
AMIGO 	54.6495%
ANIMA 	54.6495%
COVEY 	54.6495%
POSER 	54.6495%
TWERP 	54.6019%
UNFED 	54.6019%
GULCH 	54.5531%
HYMEN 	54.5531%
SMARM 	54.5531%
STREW 	54.5531%
DEIFY 	54.5032%
MIXUP 	54.5032%
OAKEN 	54.5032%
ARBOR 	54.486%
FUNGO 	54.3996%
TECHY 	54.3996%
BEAUT 	54.3458%
RECON 	54.3458%
HOLEY 	54.2907%
PISTE 	54.2907%
PLAYA 	54.2907%
POLIS 	54.2907%
PUPAE 	54.2907%
WINEY 	54.2907%
ADIOS 	54.2341%
BUTTE 	54.2341%
GLOWY 	54.2341%
INCEL 	54.2341%
YAPPY 	54.2341%
PLEBE 	54.176%
DRUID 	54.1164%
SCAPE 	54.1164%
BOOTY 	54.0656%
HOWDY 	54.0551%
SCRAM 	53.9922%
SCULL 	53.9922%
WHIST 	53.9922%
CHINO 	53.9275%
INURE 	53.9275%
MAMMA 	53.9275%
TWERK 	53.9275%
AXIAL 	53.861%
CALVE 	53.861%
FILCH 	53.861%
PRICY 	53.861%
RAGER 	53.861%
ECLAT 	53.7925%
GEODE 	53.7925%
RETCH 	53.7925%
SWALE 	53.7925%
WHIRR 	53.7925%
FLUME 	53.722%
GUTTY 	53.722%
HUMUS 	53.722%
MANGE 	53.722%
PACER 	53.722%
VROOM 	53.722%
DINGO 	53.6495%
DOPER 	53.6495%
GAYER 	53.6495%
GUPPY 	53.6495%
HUSSY 	53.6495%
LORRY 	53.6495%
EMERY 	53.5747%
KNAVE 	53.5747%
REMAP 	53.5747%
BOULE 	53.4976%
FRACK 	53.4976%
MOLLY 	53.4976%
PAVER 	53.4976%
BIPOD 	53.4181%
ICIER 	53.4181%
BIPED 	53.336%
CILIA 	53.336%
CLOMP 	53.336%
WRACK 	53.336%
NUTSO 	53.2514%
SCROD 	53.2514%
DATUM 	53.1638%
SPORK 	53.1638%
STENO 	53.1638%
BOOBY 	53.121%
SOOTH 	53.0734%
GLYPH 	52.9798%
JANKY 	52.9798%
WHOMP 	52.9798%
ABASE 	52.8829%
CURIA 	52.8829%
EBOOK 	52.8829%
HANKY 	52.8829%
IDLER 	52.8829%
KISSY 	52.8829%
MOULD 	52.8829%
NITRO 	52.8829%
RERAN 	52.8829%
VEINY 	52.8829%
HUGGY 	52.6786%
INGOT 	52.6786%
PADRE 	52.6786%
RAVER 	52.6786%
WHELK 	52.6786%
PRICK 	52.6686%
BELAY 	52.5707%
BORAX 	52.5707%
SHIRE 	52.5707%
MIDGE 	52.4588%
PIKER 	52.4588%
TILDE 	52.4588%
TRIKE 	52.4588%
VELDT 	52.4588%
ASTIR 	52.3426%
BOING 	52.3426%
FOGEY 	52.3426%
FRUMP 	52.3426%
